Filename: testdata6.txt
Lines: 808
Words: 5035
Characters: 36823
Word Frequency:
p: 1
vergili: 1
maronis: 1
aeneidos: 1
liber: 1
primvs: 1
arma: 10
virumque: 1
canō: 1
trōiae: 1
quī: 1
prīmus: 1
ab: 13
ōrīs: 1
ītaliam: 2
fātō: 1
profugus: 1
lāvīniaque: 1
vēnit: 1
lītora: 1
multum: 1
ille: 12
et: 166
terrīs: 2
iactātus: 1
altō: 1
vī: 1
superum: 1
saevae: 1
memorem: 2
iūnōnis: 1
ob: 4
īram: 1
multa: 8
quoque: 6
bellō: 1
passus: 2
dum: 10
conderet: 1
urbem: 9
5: 1
inferretque: 1
deōs: 1
latiō: 2
genus: 8
unde: 5
latīnum: 1
albānīque: 1
patrēs: 1
atque: 25
altae: 1
moenia: 8
rōmae: 1
mūsa: 1
mihī: 1
causās: 1
memorā: 1
quō: 1
nūmine: 1
laesō: 1
quidve: 1
dolēns: 1
rēgīna: 1
deum: 1
tot: 8
volvere: 2
cāsūs: 1
īnsīgnem: 1
pietāte: 1
virum: 6
adīre: 1
labōrēs: 1
10: 1
impulerit: 1
tantaene: 1
animīs: 1
caelestibus: 2
īrae: 1
urbs: 1
antīqua: 1
fuit: 5
tyriī: 1
tenuēre: 1
colōnī: 1
karthāgō: 1
contrā: 1
tiberīnaque: 1
longē: 2
ōstia: 1
dīves: 1
opum: 1
studiīsque: 1
asperrima: 1
bellī: 2
quam: 8
iūnō: 1
fertur: 2
magis: 1
omnibus: 3
ūnam: 1
15: 1
posthabitā: 1
coluisse: 1
samō: 1
hīc: 2
illius: 2
currus: 2
hōc: 1
rēgnum: 1
dea: 10
gentibus: 1
esse: 2
sī: 1
quā: 1
fāta: 1
sinant: 1
iam: 20
tum: 18
tenditque: 1
fovetque: 1
prōgeniem: 1
sed: 10
enim: 4
trōiānō: 1
ā: 1
sanguine: 3
dūcī: 1
audierat: 1
tyriās: 1
olim: 5
quae: 22
verteret: 1
arcēs: 1
20: 1
hinc: 10
populum: 1
lātē: 1
regem: 2
bellōque: 1
superbum: 1
ventūrum: 1
excidiō: 1
libyae: 7
sīc: 1
parcās: 1
id: 2
metuēns: 1
veterisque: 1
memor: 2
sāturnia: 1
prīma: 1
quod: 4
ad: 21
trōiam: 1
prō: 1
cārīs: 1
gesserat: 2
argīs—: 1
necdum: 1
etiam: 2
causae: 1
īrārum: 1
saevīque: 1
dolōrēs: 1
25: 1
exciderant: 1
animō: 1
manet: 1
altā: 1
mente: 1
repostum: 1
iūdicium: 1
paridis: 1
sprētaeque: 1
iniūria: 1
fōrmae: 1
invīsum: 1
raptī: 1
ganymēdis: 1
honōrēs: 1
hīs: 1
accēnsa: 1
super: 8
iactātōs: 1
aequore: 4
tōtō: 1
trōas: 1
rēliquiās: 1
danaum: 4
immītis: 1
achillī: 1
30: 1
arcēbat: 1
multōsque: 1
per: 27
annōs: 1
errābant: 1
āctī: 1
fātīs: 1
maria: 3
omnia: 5
circum: 9
tantae: 1
mōlis: 1
erat: 8
rōmānam: 1
condere: 2
gentem: 4
vix: 3
e: 2
conspectu: 2
siculae: 1
